CFG,Site,Version,Measure,NovW117,NovW217,NovW317,NovW417,DecW117,DecW217,DecW317,DecW417,DecW517,JanW117,JanW217,JanW317,JanW417,JanW517
FP_P2213_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,17,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing
FP_P2213_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,17,17,16,16,16,#Missing,#Missing,#Missing,#Missing,#Missing
FP_P2213_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,17,16,16,16,#Missing,#Missing,#Missing,#Missing,#Missing
FP_P2213_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,16,16,16,#Missing,#Missing,#Missing,#Missing,#Missing
FP_P2213_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,16,16,#Missing,#Missing,#Missing,#Missing,#Missing
FP_P2213_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,16,#Missing,#Missing,#Missing,#Missing,#Missing
FP_P2213_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,16,15,15,15,15
FP_P2213_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,15,15,15,15
FP_P2213_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,15,15,15
FP_P2213_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,15,15
FP_P2213_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,15
FP_P2213_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,#Missing,612,435,8,-787,11,326,-100,#Missing,-54,#Missing,#Missing,#Missing,#Missing
FP_U2413_CFG,NFC_Site,FY17Q3W5,MRP_Part,315,315,315,315,250,250,250,250,250,540,540,540,540,540
FP_U2413_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,315,315,315,250,250,250,250,250,540,540,540,540,540
FP_U2413_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,315,315,250,250,250,250,250,540,540,540,540,540
FP_U2413_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,315,250,250,250,250,250,540,540,540,540,540
FP_U2413_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,250,250,250,250,250,540,540,540,540,540
FP_U2413_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,250,250,250,250,540,540,540,540,540
